Czas; Temperatura; Czas; Moc grzejnika
0.2137; 20.0218; 0.2137; 3000
0.4274; 20.0435; 0.4274; 3000
0.6411; 20.0653; 0.6411; 3000
0.8548; 20.0871; 0.8548; 3000
1.0685; 20.1088; 1.0685; 3000
1.2822; 20.1306; 1.2822; 3000
1.4959; 20.1523; 1.4959; 3000
1.7096; 20.1741; 1.7096; 3000
1.9233; 20.1958; 1.9233; 3000
2.137; 20.2176; 2.137; 3000
2.3507; 20.2393; 2.3507; 3000
2.5644; 20.261; 2.5644; 3000
2.7781; 20.2827; 2.7781; 3000
2.9918; 20.3044; 2.9918; 3000
3.2055; 20.3262; 3.2055; 3000
3.4192; 20.3479; 3.4192; 3000
3.6329; 20.3696; 3.6329; 3000
3.8466; 20.3913; 3.8466; 3000
4.0603; 20.413; 4.0603; 3000
4.274; 20.4346; 4.274; 3000
4.4877; 20.4563; 4.4877; 3000
4.7014; 20.478; 4.7014; 3000
4.9151; 20.4997; 4.9151; 3000
5.1288; 20.5214; 5.1288; 3000
5.3425; 20.543; 5.3425; 3000
5.5562; 20.5647; 5.5562; 3000
5.7699; 20.5863; 5.7699; 3000
5.9836; 20.608; 5.9836; 3000
6.1973; 20.6296; 6.1973; 3000
6.411; 20.6513; 6.411; 3000
6.6247; 20.6729; 6.6247; 3000
6.8384; 20.6945; 6.8384; 3000
7.0521; 20.7162; 7.0521; 3000
7.2658; 20.7378; 7.2658; 3000
7.4795; 20.7594; 7.4795; 3000
7.6932; 20.781; 7.6932; 3000
7.9069; 20.8026; 7.9069; 3000
8.1206; 20.8243; 8.1206; 3000
8.3343; 20.8459; 8.3343; 3000
8.548; 20.8675; 8.548; 3000
8.7617; 20.889; 8.7617; 3000
8.9754; 20.9106; 8.9754; 3000
9.1891; 20.9322; 9.1891; 3000
9.4028; 20.9538; 9.4028; 3000
9.6165; 20.9754; 9.6165; 3000
9.8302; 20.9969; 9.8302; 3000
10.0439; 21.0185; 10.0439; 3000
10.2576; 21.0401; 10.2576; 3000
